FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,42,PENNSYLVANIA,PA,Beaver,42007,"Beaver County, Pennsylvania",434.712690064,169205.0,0.0,78304.0,197.0,69921.0,628.0,18036.0,1160.0,5327.0,416.0,28018.0,493.0,9883.0,570.0,33304.0,62.0,33432.0,0.0,24745.0,856.0,5414.0,423.5,17172.0,95.0,520.0,179.3,4152.0,336.4,3586.0,344.0,725.0,146.5,5836.0,420.0,3019.0,380.0,10.8,0.7,6.1,0.5,28018.0,493.0,8.1,0.5,19.7,0.1,19.8,0.0,14.7,0.5,7.7,0.6,10.1,0.1,0.3,0.1,5.3,0.4,4.6,0.4,1.0,0.2,8.3,0.6,1.8,0.2,0.2424,0.3636,0.2576,0.1212,0.9848,0.1515,0.6818,0.3182,0.3939,0.5,1.8939,0.3788,0.6364,0.2727,0.9091,0.4697,0.7273,0.2727,0.3333,0.5303,0.2424,2.1061,0.2727,5.8939,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10064.0,765.0,6.0,0.5,154496.0
1,42,PENNSYLVANIA,PA,Blair,42013,"Blair County, Pennsylvania",525.799590497,125917.0,0.0,56059.0,168.0,50954.0,438.0,18196.0,1100.0,3519.0,342.0,24466.0,530.0,8283.0,616.0,24316.0,91.0,26013.0,0.0,21020.0,715.0,4052.0,341.5,6265.0,86.0,382.0,159.6,3865.0,335.8,3581.0,345.0,547.0,130.6,4810.0,384.0,3231.0,381.0,14.8,0.9,5.8,0.5,24466.0,530.0,9.3,0.7,19.3,0.1,20.7,0.0,16.9,0.6,8.0,0.7,5.0,0.1,0.3,0.1,6.9,0.6,6.4,0.6,1.1,0.3,9.4,0.7,2.6,0.3,0.7879,0.2879,0.6212,0.2273,1.9242,0.3939,0.5758,0.6212,0.7424,0.5758,2.5152,0.8788,0.3182,0.2424,0.5606,0.2424,0.803,0.4091,0.3939,0.7273,0.4091,2.7424,0.6212,7.7424,0.5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8979.0,714.0,7.2,0.6,131640.0
2,42,PENNSYLVANIA,PA,Butler,42019,"Butler County, Pennsylvania",788.594535694,185974.0,0.0,80168.0,280.0,74762.0,515.0,15257.0,991.0,5015.0,359.0,33406.0,532.0,8464.0,489.0,31572.0,94.0,38890.0,36.0,22436.0,896.0,4461.0,377.8,8953.0,111.0,417.0,153.6,5469.0,397.4,7195.0,426.0,434.0,106.0,4598.0,303.0,5695.0,651.0,8.5,0.5,5.2,0.4,33406.0,532.0,6.5,0.4,17.0,0.1,20.9,0.0,12.2,0.5,6.0,0.5,4.8,0.1,0.2,0.1,6.8,0.5,9.0,0.5,0.6,0.1,6.2,0.4,3.1,0.4,0.0455,0.1061,0.0758,0.0455,0.2727,0.0,0.2424,0.6515,0.1061,0.0758,1.0758,0.0606,0.2727,0.1061,0.3788,0.1515,0.7879,0.6212,0.0758,0.2424,0.5152,2.2424,0.3788,3.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,727.0,5.1,0.4,188613.0
3,42,PENNSYLVANIA,PA,Carbon,42025,"Carbon County, Pennsylvania",381.460118049,64330.0,0.0,34387.0,107.0,25813.0,436.0,7621.0,752.0,2539.0,378.0,25743.0,1325.0,5082.0,465.0,12568.0,106.0,12763.0,58.0,10670.0,665.0,2000.0,292.9,4709.0,45.0,316.0,175.5,737.0,177.6,1391.0,204.0,404.0,159.2,1867.0,262.0,895.0,234.0,12.1,1.2,8.0,1.2,25743.0,1325.0,10.8,1.0,19.5,0.2,19.8,0.1,16.8,1.0,7.7,1.1,7.3,0.1,0.5,0.3,2.1,0.5,4.0,0.6,1.6,0.6,7.2,1.0,1.4,0.4,0.3788,0.8636,0.4697,0.3939,2.1061,0.4848,0.6364,0.3939,0.7121,0.5152,2.2576,0.6667,0.4848,0.5,0.9848,0.5455,0.1515,0.2273,0.803,0.3636,0.1364,1.6818,0.1061,7.0303,0.4242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5077.0,648.0,8.0,1.0,50906.0
4,42,PENNSYLVANIA,PA,Columbia,42037,"Columbia County, Pennsylvania",483.106566095,66772.0,0.0,29596.0,186.0,26356.0,451.0,9498.0,870.0,1696.0,228.0,24155.0,648.0,4821.0,417.0,11523.0,63.0,12019.0,34.0,8065.0,469.0,2017.0,239.3,4328.0,36.0,283.0,129.5,1274.0,219.8,2565.0,204.0,228.0,85.6,1684.0,245.0,4439.0,438.0,15.3,1.4,5.3,0.7,24155.0,648.0,11.0,0.9,17.3,0.1,18.0,0.1,12.2,0.7,7.7,0.9,6.5,0.1,0.4,0.2,4.3,0.7,8.7,0.7,0.9,0.3,6.4,0.9,6.6,0.7,0.8182,0.1667,0.7273,0.4848,2.197,0.6212,0.3182,0.0909,0.1061,0.4848,1.0,0.0303,0.4091,0.4091,0.8182,0.3939,0.5455,0.5758,0.2121,0.2727,0.8485,2.4545,0.4848,6.4697,0.2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3974.0,510.0,6.0,0.8,66408.0
5,42,PENNSYLVANIA,PA,Cumberland,42041,"Cumberland County, Pennsylvania",545.498092914,243838.0,0.0,102772.0,311.0,96501.0,626.0,19828.0,1420.0,6542.0,551.0,33079.0,601.0,14628.0,733.0,41584.0,75.0,49680.0,33.0,26647.0,1042.0,6646.0,566.4,30810.0,123.0,2921.0,452.0,7544.0,578.0,4818.0,448.0,899.0,217.8,6038.0,569.0,13160.0,676.0,8.6,0.6,5.1,0.4,33079.0,601.0,8.6,0.4,17.1,0.1,20.4,0.0,11.2,0.4,6.9,0.6,12.6,0.1,1.3,0.2,7.3,0.6,4.7,0.4,0.9,0.2,6.3,0.6,5.4,0.3,0.0606,0.0758,0.0909,0.1818,0.4091,0.0455,0.2576,0.5,0.0606,0.303,1.1212,0.0909,0.697,0.7121,1.4091,0.7121,0.8333,0.303,0.2576,0.2576,0.7576,2.4091,0.4545,5.3485,0.1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15051.0,989.0,6.3,0.4,266937.0
6,42,PENNSYLVANIA,PA,Elk,42047,"Elk County, Pennsylvania",827.360999667,31111.0,0.0,17536.0,75.0,13362.0,271.0,2688.0,414.0,802.0,158.0,25753.0,907.0,1925.0,212.0,6392.0,41.0,6156.0,35.0,5145.0,359.0,915.0,149.8,779.0,66.0,23.0,74.6,423.0,100.7,1344.0,154.0,54.0,55.1,988.0,173.0,398.0,173.0,8.8,1.3,5.1,1.0,25753.0,907.0,8.5,0.9,20.5,0.1,19.8,0.1,16.7,1.2,6.8,1.1,2.5,0.2,0.1,0.3,2.4,0.6,7.7,0.9,0.4,0.4,7.4,1.3,1.3,0.6,0.0909,0.0758,0.4545,0.1667,0.7879,0.1212,0.8485,0.3636,0.6818,0.2727,2.1667,0.5606,0.0,0.0152,0.0152,0.0,0.2121,0.5,0.0,0.4242,0.1061,1.2424,0.0152,4.2121,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1402.0,241.0,4.6,0.8,30526.0
7,42,PENNSYLVANIA,PA,Lawrence,42073,"Lawrence County, Pennsylvania",358.165382453,88528.0,0.0,40723.0,180.0,36302.0,464.0,12374.0,851.0,2736.0,280.0,25614.0,803.0,6614.0,431.0,17733.0,79.0,18038.0,38.0,14261.0,610.0,3146.0,283.6,6872.0,185.0,363.0,115.9,1858.0,208.5,2979.0,259.0,351.0,126.5,3448.0,278.0,2311.0,349.0,14.3,1.0,6.5,0.7,25614.0,803.0,10.5,0.7,20.0,0.1,20.4,0.0,16.3,0.7,8.7,0.8,7.8,0.2,0.4,0.1,4.6,0.5,7.3,0.6,1.0,0.3,9.5,0.7,2.6,0.4,0.6667,0.5,0.5,0.3636,2.0303,0.4697,0.7576,0.5303,0.5909,0.803,2.6818,0.9242,0.5455,0.3788,0.9242,0.5152,0.5758,0.4697,0.303,0.7424,0.4394,2.5303,0.5303,8.1667,0.6364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6225.0,525.0,7.1,0.6,79144.0
8,42,PENNSYLVANIA,PA,Lycoming,42081,"Lycoming County, Pennsylvania",1228.60011159,116313.0,0.0,52644.0,209.0,45587.0,608.0,15932.0,1154.0,4261.0,436.0,24855.0,566.0,8989.0,581.0,20488.0,123.0,23986.0,0.0,17386.0,802.0,3915.0,379.2,10669.0,214.0,256.0,111.0,2992.0,370.2,3541.0,241.0,550.0,160.6,4220.0,421.0,5828.0,456.0,14.4,1.0,7.3,0.7,24855.0,566.0,11.1,0.7,17.6,0.1,20.6,0.0,15.4,0.7,8.6,0.8,9.2,0.2,0.2,0.1,5.7,0.7,6.7,0.5,1.2,0.4,9.3,0.9,5.0,0.4,0.697,0.697,0.5606,0.5303,2.4848,0.697,0.3636,0.5909,0.5,0.7879,2.2424,0.6212,0.6061,0.0909,0.697,0.3333,0.7424,0.4242,0.5606,0.6818,0.7424,3.1515,0.8333,8.5758,0.7273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.0,700.0,7.1,0.6,118845.0
9,42,PENNSYLVANIA,PA,Mercer,42085,"Mercer County, Pennsylvania",672.581227594,114598.0,0.0,51604.0,213.0,45350.0,526.0,14962.0,929.0,3307.0,350.0,24399.0,653.0,8381.0,486.0,22747.0,54.0,23287.0,0.0,18083.0,676.0,3589.0,304.6,10916.0,128.0,536.0,126.3,2464.0,235.5,4083.0,309.0,531.0,109.2,4341.0,326.0,7357.0,487.0,14.0,0.9,6.2,0.6,24399.0,653.0,10.5,0.6,19.8,0.1,20.3,0.0,16.3,0.6,7.9,0.7,9.5,0.1,0.5,0.1,4.8,0.5,7.9,0.6,1.2,0.2,9.6,0.7,6.4,0.4,0.6212,0.3788,0.6364,0.3636,2.0,0.4394,0.7121,0.4697,0.5909,0.5455,2.3182,0.7121,0.6212,0.4848,1.1061,0.6212,0.6212,0.5303,0.5152,0.7879,0.8182,3.2727,0.8939,8.697,0.7727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8692.0,651.0,7.9,0.6,115155.0
10,42,PENNSYLVANIA,PA,Montour,42093,"Montour County, Pennsylvania",130.242335916,18404.0,0.0,8048.0,87.0,7361.0,170.0,1763.0,327.0,478.0,172.0,31293.0,1694.0,1357.0,192.0,3679.0,47.0,3793.0,111.0,2318.0,274.0,465.0,113.1,1411.0,4.0,118.0,93.3,207.0,84.6,632.0,112.0,39.0,23.3,743.0,178.0,733.0,165.0,10.0,1.9,5.3,1.9,31293.0,1694.0,10.2,1.4,20.0,0.3,20.6,0.6,13.0,1.5,6.3,1.5,7.7,0.0,0.7,0.5,2.6,1.1,7.9,1.4,0.5,0.3,10.1,2.4,4.0,0.9,0.1364,0.1667,0.1212,0.3182,0.7424,0.0909,0.7576,0.5606,0.197,0.1515,1.6667,0.2273,0.5152,0.5606,1.0758,0.6061,0.2424,0.5303,0.0606,0.8485,0.6667,2.3485,0.4242,5.8333,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,217.0,6.0,1.2,25226.0
11,42,PENNSYLVANIA,PA,Northampton,42095,"Northampton County, Pennsylvania",369.624753133,300520.0,0.0,121207.0,283.0,112819.0,743.0,26379.0,1622.0,10501.0,705.0,31086.0,544.0,19950.0,899.0,52100.0,26.0,61996.0,41.0,37334.0,1154.0,8957.0,594.4,64848.0,255.0,5328.0,593.0,8230.0,518.4,2984.0,333.0,1156.0,232.6,8427.0,554.0,10856.0,707.0,9.1,0.6,6.7,0.4,31086.0,544.0,9.6,0.4,17.3,0.1,20.6,0.0,12.5,0.4,7.9,0.5,21.6,0.1,1.9,0.2,6.8,0.4,2.5,0.3,1.0,0.2,7.5,0.5,3.6,0.2,0.1061,0.5606,0.1364,0.2727,1.0758,0.1667,0.3182,0.6061,0.1515,0.5606,1.6364,0.197,0.8788,0.8333,1.7121,0.8485,0.7727,0.1061,0.3182,0.4545,0.5758,2.2273,0.3636,6.6515,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20924.0,1268.0,7.0,0.4,277199.0
12,42,PENNSYLVANIA,PA,Northumberland,42097,"Northumberland County, Pennsylvania",458.001618686,93590.0,0.0,44930.0,216.0,39192.0,432.0,12974.0,1237.0,2982.0,396.0,23512.0,483.0,9635.0,503.0,18406.0,80.0,18495.0,87.0,14566.0,708.0,3350.0,377.3,6391.0,66.0,384.0,146.0,2250.0,280.2,2066.0,241.0,453.0,143.6,4004.0,328.0,4491.0,480.0,14.6,1.4,6.8,0.9,23512.0,483.0,14.2,0.7,19.7,0.1,19.8,0.1,16.3,0.8,8.5,1.0,6.8,0.1,0.4,0.2,5.0,0.6,4.6,0.5,1.2,0.4,10.2,0.8,4.8,0.5,0.7424,0.5909,0.8182,0.8788,3.0303,0.9242,0.6818,0.3333,0.5909,0.7576,2.3636,0.7727,0.4394,0.3939,0.8333,0.4394,0.6667,0.2727,0.4848,0.8636,0.7121,3.0,0.7576,9.2273,0.8788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7544.0,605.0,8.4,0.7,80739.0
13,42,PENNSYLVANIA,PA,Perry,42099,"Perry County, Pennsylvania",551.448021259,45647.0,0.0,20486.0,82.0,17883.0,221.0,3921.0,419.0,1257.0,203.0,27648.0,612.0,3757.0,283.0,7242.0,64.0,10052.0,26.0,6052.0,342.0,1368.0,191.2,1843.0,12.0,154.0,88.8,317.0,62.1,2397.0,294.0,253.0,62.3,916.0,109.0,596.0,141.0,8.7,0.9,5.2,0.8,27648.0,612.0,11.7,0.9,15.9,0.1,22.0,0.1,13.4,0.8,7.6,1.1,4.0,0.0,0.4,0.2,1.5,0.3,11.7,1.4,1.4,0.3,5.1,0.6,1.3,0.3,0.0758,0.1061,0.303,0.6364,1.1212,0.1818,0.1364,0.803,0.2879,0.4697,1.697,0.2424,0.2121,0.303,0.5152,0.197,0.0758,0.7424,0.7121,0.1061,0.1212,1.7576,0.1212,5.0909,0.0758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.0,402.0,10.0,0.9,30305.0
14,42,PENNSYLVANIA,PA,Schuylkill,42107,"Schuylkill County, Pennsylvania",778.631014123,145503.0,0.0,68954.0,331.0,58341.0,655.0,18029.0,1164.0,5479.0,424.0,24275.0,437.0,12860.0,622.0,27994.0,67.0,28550.0,0.0,24734.0,842.0,4690.0,362.0,11559.0,57.0,665.0,190.4,2166.0,317.6,2813.0,256.0,564.0,130.6,5645.0,427.0,7112.0,537.0,13.0,0.8,8.0,0.6,24275.0,437.0,12.1,0.6,19.2,0.1,19.6,0.0,17.8,0.6,8.0,0.6,7.9,0.0,0.5,0.1,3.1,0.5,4.1,0.4,1.0,0.2,9.7,0.7,4.9,0.4,0.5303,0.8636,0.697,0.6818,2.7727,0.8182,0.5606,0.2727,0.8485,0.5909,2.2727,0.697,0.5606,0.4697,1.0303,0.5606,0.3485,0.2424,0.2879,0.803,0.7273,2.4091,0.4697,8.4848,0.6818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10970.0,832.0,7.9,0.6,133463.0
15,42,PENNSYLVANIA,PA,Somerset,42111,"Somerset County, Pennsylvania",1074.36632828,76201.0,0.0,37953.0,138.0,29630.0,325.0,8993.0,679.0,2341.0,246.0,23402.0,544.0,7270.0,375.0,15599.0,72.0,14038.0,9.0,11693.0,494.0,1800.0,208.2,3966.0,16.0,326.0,110.3,1521.0,165.9,4347.0,271.0,359.0,113.1,2134.0,204.0,5014.0,288.0,12.6,1.0,6.7,0.7,23402.0,544.0,12.9,0.7,20.5,0.1,18.4,0.0,16.4,0.7,6.1,0.7,5.2,0.0,0.4,0.2,4.0,0.4,11.5,0.7,1.2,0.4,7.2,0.7,6.6,0.4,0.4242,0.5606,0.8485,0.7727,2.6061,0.7424,0.8485,0.1212,0.6667,0.1212,1.7576,0.303,0.3333,0.4242,0.7576,0.3636,0.5152,0.7273,0.5758,0.3636,0.8333,3.0152,0.7879,8.1364,0.6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5873.0,445.0,8.2,0.6,68339.0
16,42,PENNSYLVANIA,PA,Susquehanna,42115,"Susquehanna County, Pennsylvania",823.508990516,41832.0,0.0,23001.0,100.0,17368.0,227.0,5320.0,489.0,1488.0,165.0,26551.0,572.0,3390.0,202.0,8395.0,43.0,8218.0,10.0,6952.0,290.0,1177.0,125.7,1485.0,11.0,155.0,86.1,403.0,65.5,3055.0,183.0,255.0,61.7,899.0,104.0,309.0,154.0,12.9,1.2,7.4,0.8,26551.0,572.0,11.1,0.7,20.1,0.1,19.6,0.0,16.7,0.7,6.8,0.7,3.5,0.0,0.4,0.2,1.8,0.3,13.3,0.8,1.5,0.4,5.2,0.6,0.7,0.4,0.5152,0.7273,0.3636,0.5303,2.1364,0.5303,0.7879,0.2879,0.6818,0.2576,2.0152,0.4394,0.1212,0.3333,0.4545,0.1818,0.1212,0.8788,0.7576,0.1212,0.0152,1.8939,0.197,6.5,0.2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4234.0,333.0,10.2,0.8,30060.0
17,42,PENNSYLVANIA,PA,Venango,42121,"Venango County, Pennsylvania",674.284178342,53460.0,0.0,27300.0,134.0,21962.0,364.0,7535.0,631.0,2010.0,236.0,24257.0,702.0,4283.0,355.0,10662.0,48.0,10886.0,0.0,9221.0,447.0,1885.0,199.5,2070.0,16.0,113.0,76.6,944.0,137.3,3233.0,213.0,201.0,78.1,1822.0,181.0,1216.0,267.0,14.4,1.2,8.0,0.9,24257.0,702.0,11.1,0.9,19.9,0.1,20.4,0.0,17.5,0.8,8.6,0.9,3.9,0.0,0.2,0.2,3.5,0.5,11.8,0.8,0.9,0.4,8.3,0.8,2.3,0.5,0.697,0.8636,0.7121,0.5303,2.803,0.8485,0.7424,0.4848,0.7879,0.7727,2.7879,0.9545,0.197,0.0606,0.2576,0.0758,0.4697,0.7576,0.2424,0.5303,0.303,2.303,0.4091,8.1515,0.6212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4367.0,482.0,8.3,0.9,49137.0
18,42,PENNSYLVANIA,PA,Washington,42125,"Washington County, Pennsylvania",856.988390305,208269.0,0.0,93897.0,251.0,83745.0,767.0,20471.0,1179.0,6534.0,493.0,31561.0,499.0,12257.0,625.0,39372.0,76.0,41396.0,0.0,30363.0,776.0,5537.0,395.8,15106.0,92.0,837.0,199.2,4742.0,342.6,5279.0,320.0,700.0,154.9,6306.0,466.0,5354.0,437.0,10.1,0.6,6.2,0.5,31561.0,499.0,8.2,0.4,18.9,0.1,19.9,0.0,14.7,0.4,6.6,0.5,7.3,0.0,0.4,0.1,5.1,0.4,5.6,0.3,0.8,0.2,7.5,0.5,2.6,0.2,0.1515,0.3788,0.1061,0.1364,0.7727,0.1061,0.5152,0.4091,0.3939,0.197,1.5152,0.1515,0.4697,0.3485,0.8182,0.3939,0.6818,0.3788,0.1818,0.4545,0.4242,2.1212,0.2879,5.2273,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11880.0,671.0,5.7,0.3,201295.0
19,42,PENNSYLVANIA,PA,Wyoming,42131,"Wyoming County, Pennsylvania",397.30515069,27975.0,0.0,13326.0,89.0,10801.0,183.0,2817.0,274.0,986.0,150.0,26823.0,740.0,1646.0,151.0,5140.0,23.0,5700.0,53.0,3952.0,286.0,785.0,118.2,1154.0,18.0,23.0,63.9,138.0,34.4,1614.0,146.0,112.0,37.2,502.0,83.0,704.0,153.0,10.3,1.0,7.0,1.1,26823.0,740.0,8.4,0.8,18.4,0.1,20.4,0.2,14.3,1.0,7.3,1.1,4.1,0.1,0.1,0.2,1.0,0.3,12.1,1.1,1.0,0.3,4.6,0.8,2.5,0.5,0.1818,0.6364,0.3485,0.1515,1.3182,0.2273,0.4697,0.5152,0.3485,0.4091,1.7424,0.2879,0.2273,0.0303,0.2576,0.0758,0.0455,0.803,0.3485,0.0152,0.3788,1.5909,0.0758,4.9091,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,234.0,7.5,0.8,24443.0
20,42,PENNSYLVANIA,PA,York,42133,"York County, Pennsylvania",904.205788831,440604.0,0.0,180618.0,274.0,168008.0,941.0,45113.0,2289.0,14574.0,753.0,28975.0,364.0,34909.0,1077.0,69799.0,44.0,99034.0,0.0,57976.0,1837.0,15203.0,725.2,67300.0,123.0,5570.0,611.6,8390.0,599.4,9447.0,470.0,1983.0,304.8,9658.0,637.0,8750.0,579.0,10.5,0.5,6.2,0.3,28975.0,364.0,11.5,0.4,15.8,0.1,22.5,0.0,13.3,0.4,9.0,0.4,15.3,0.0,1.3,0.1,4.6,0.3,5.2,0.3,1.2,0.2,5.7,0.4,2.0,0.1,0.2121,0.3788,0.2121,0.6061,1.4091,0.2576,0.1061,0.8636,0.2424,0.8485,2.0606,0.4848,0.7727,0.7424,1.5152,0.7576,0.5909,0.3333,0.5303,0.1818,0.2879,1.9242,0.2121,6.9091,0.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31487.0,1500.0,7.2,0.3,405246.0
